ROG3,Ctry,PoplPeoples,CntPeoples,CntPeoplesLR,PoplPeoplesLR,JPScaleCtry,ROL3OfficialLanguage,OfficialLang,RLG3Primary,ReligionPrimary,PercentChristianity,PercentEvangelical,10_40Window,ROG2,Continent,RegionCode,RegionName,PercentUrbanized,LiteracyRate,ISO3,Population,WorkersNeeded
AF,Afghanistan,36278833,72,67,36260154,1,pbt,"Pashto, Southern",6,Islam,0.0579857955511875,0.0261529451342294,Y,ASI,Asia,5,"Central Asia",27,32,AFG,36373000,764
AL,Albania,2902100,16,3,40216,2,aln,"Albanian, Gheg",6,Islam,26.2964243660532,0.605236600733267,Y,EUR,Europe,9,"Eastern Europe and Eurasia",58,97,ALB,2934000,3
AG,Algeria,41948010,40,36,41916649,1,arb,"Arabic, Standard",6,Islam,1.48260084201481,1.29329655198936,Y,AFR,Africa,6,"Middle East and North Africa",71,80,DZA,42008000,854
AQ,"American Samoa",55211,9,1,982,5,smo,Samoan,1,Christianity,95.4169857142857,24.8413403186461,N,SOP,Oceania,1,"Australia and Pacific",87,97,ASM,56000,1
AN,Andorra,76378,10,2,1108,3,cat,Catalan,1,Christianity,90.596627012987,1.35771397980905,N,EUR,Europe,10,"Western Europe",85,99,AND,77000,2
AO,Angola,30753141,62,1,363129,5,por,Portuguese,1,Christianity,91.3729638864848,24.3114177339852,N,AFR,Africa,7,"East and Southern Africa",45,70,AGO,30774000,7
AV,Anguilla,14519,5,,,5,eng,English,1,Christianity,90.5840740410767,33.5121438524158,N,NAR,"North America",12,"North America and Caribbean",100,95,AIA,15000,
AC,"Antigua and Barbuda",101843,5,,,5,eng,English,1,Christianity,92.93201114164479,24.8495632537356,N,NAR,"North America",12,"North America and Caribbean",23,97,ATG,103000,
AR,Argentina,44616922,84,2,184067,5,spa,Spanish,1,Christianity,93.07725473844781,11.0413853276697,N,LAM,"South America",11,"Latin America",92,98,ARG,44689000,5
AM,Armenia,2888119,16,4,38289,4,hye,Armenian,1,Christianity,94.50594237681339,9.67199321895693,N,EUR,Europe,5,"Central Asia",63,99,ARM,2934000,4
AA,Aruba,105069,9,,,4,nld,Dutch,1,Christianity,95.4753252830189,9.892979561842621,N,NAR,"North America",12,"North America and Caribbean",41,98,ABW,106000,
AS,Australia,24688781,184,20,856340,5,eng,English,1,Christianity,65.569014197391,14.4636316377665,N,AUS,Australia,1,"Australia and Pacific",90,99,AUS,24768000,24
AU,Austria,8708873,44,8,348427,3,deu,"German, Standard",1,Christianity,82.8850000998286,0.595123083968496,N,EUR,Europe,10,"Western Europe",66,98,AUT,8752000,10
AJ,Azerbaijan,9904259,38,24,9576829,1,azj,"Azerbaijani, North",6,Islam,2.64978153672605,0.248204838373109,Y,ASI,Asia,5,"Central Asia",55,99,AZE,9924000,206
BF,Bahamas,396976,9,,,5,eng,English,1,Christianity,94.4590806015038,39.660374393443,N,NAR,"North America",12,"North America and Caribbean",83,97,BHS,399000,
BA,Bahrain,1546278,16,7,1200739,4,arb,"Arabic, Standard",6,Islam,8.289984971272689,2.50323881940013,Y,ASI,Asia,6,"Middle East and North Africa",89,95,BHR,1567000,26
BG,Bangladesh,165616960,326,294,163630270,1,ben,Bengali,6,Islam,0.34277583522483,,Y,ASI,Asia,4,"South Asia",35,58,BGD,166368000,3468
BB,Barbados,282353,5,1,3989,5,eng,English,1,Christianity,92.61343251748249,33.5975157342657,N,NAR,"North America",12,"North America and Caribbean",31,99,BRB,286000,1
BO,Belarus,9414102,26,5,31100,3,bel,Belarusian,1,Christianity,69.40003234659331,1.67388580505542,N,EUR,Europe,9,"Eastern Europe and Eurasia",77,100,BLR,9452000,5
BE,Belgium,11428089,91,26,935446,3,vls,Vlaams,1,Christianity,64.259216683228,1.4208851700842,N,EUR,Europe,10,"Western Europe",98,100,BEL,11499000,37
BH,Belize,360235,13,1,3399,5,eng,English,1,Christianity,85.9985718711356,23.3897904875242,N,NAR,"North America",11,"Latin America",44,89,BLZ,382000,1
BN,Benin,11453095,63,13,2144183,4,fra,French,1,Christianity,31.569267502213,7.46978836918157,Y,AFR,Africa,8,"West and Central Africa",44,38,BEN,11486000,48
BD,Bermuda,59898,7,,,5,eng,English,1,Christianity,91.6550619672131,26.3143903043991,N,NAR,"North America",12,"North America and Caribbean",100,98,BMU,61000,
BT,Bhutan,813388,74,71,810228,1,dzo,Dzongkha,2,Buddhism,0.27837062379761,,Y,ASI,Asia,4,"South Asia",39,65,BTN,817000,77
